Título,Rating,Porciones,Tiempo total,Ingredientes,Descripción,Pasos,Nutrición
Sweet Hot Mustard Chicken Thighs,4.7,8,5 hrs,"['8 large bone-in, skin-on chicken thighs', '½ cup Dijon mustard', '¼ cup packed brown sugar', '¼ cup red wine vinegar', '1 teaspoon dry mustard powder', '1 teaspoon salt', '1 teaspoon freshly ground black pepper', '½ teaspoon ground dried chipotle pepper', '1 pinch cayenne pepper, or to taste', '4 cloves garlic, minced', '1  onion, sliced into rings', '2 teaspoons vegetable oil, or as needed']","When it comes to mustard, sweet-hot works amazingly well, especially as a glaze for chicken. Even though we are using skin-on bone-in chicken thighs, I'm sure it will work with any cut of chicken. By the time this is done, it doesn't have a super-strong mustard flavor. It gets mellowed out by the brown sugar and spices. The old saying 'The closer the bone, the sweeter the meat' really is true. Leaving in the bones adds a lot of flavor and juiciness.","['Make 2 slashes crosswise into the skin and meat of each chicken thigh with a sharp knife, cutting to the bone. Cuts should be about 1 inch apart. Transfer thighs into a heavy resealable plastic bag.', 'Whisk Dijon mustard, brown sugar, red wine vinegar, mustard powder, salt, black pepper, ground chipotle pepper, and cayenne pepper in a bowl until smooth. Whisk garlic into marinade.', 'Pour marinade into bag over chicken thighs and massage marinade into chicken, coating each thigh thoroughly and working the marinade into the cuts. Seal bag and refrigerate at least 4 hours (or overnight for best flavor).', 'Move a rack to the center position in oven. Preheat oven to 450 degrees F (230 degrees C). Line a baking sheet with aluminum foil and lightly oil the foil.', 'Scatter onion rings onto prepared baking sheet. Place chicken thighs on top of onion rings. Spray or brush thighs with vegetable oil; sprinkle thighs with additional salt and cayenne pepper if desired.', 'Roast chicken in preheated oven until the skin is browned, meat is tender, and the juices run clear, 35 to 45 minutes.', 'Transfer chicken and onions onto a serving platter. Pour pan drippings into a saucepan, bring to a boil, and continue boiling, stirring often, until drippings are reduced by half, 3 to 4 minutes. Skim excess fat from pan sauce.', 'Spoon reduced pan sauce over each chicken thigh and serve.']","{'Calories': '352', 'Fat': '19g', 'Carbs': '14g', 'Protein': '29g'}"
Lemon Chicken Orzo Soup,4.8,12,50 mins,"['8 ounces orzo pasta', '1 teaspoon olive oil', '3 medium carrots, chopped, or more to taste', '3 ribs celery, chopped', '1 medium onion, chopped', '2 cloves garlic, minced', '½ teaspoon dried thyme', '½ teaspoon dried oregano', 'salt and ground black pepper to taste', '1  bay leaf', '3 (32 ounce) cartons fat-free, low-sodium chicken broth', '½ cup fresh lemon juice', '1  lemon, zested', '8 ounces cooked chicken breast, chopped', '1 (8 ounce) package baby spinach leaves', '1  lemon, sliced for garnish (Optional)', '¼ cup grated Parmesan cheese (Optional)']","This lemon chicken orzo soup is comfort in a bowl! It is so flavorful with tender pieces of chicken in a lemony broth with orzo pasta, carrots, onions, celery, and baby spinach. This has quickly become one of my family's favorite soup recipes.","['Gather the ingredients.', 'Bring a large pot of lightly salted water to a boil. Stir in orzo and return to a boil. Cook pasta uncovered until partially cooked through but not yet soft, about 5 minutes; drain and rinse with cold water until cooled completely.', 'Meanwhile, heat olive oil in a large pot over medium heat. Add carrots, celery, and onion; cook and stir until vegetables begin to soften and onion becomes translucent, about 5 minutes. Add garlic; cook and stir until fragrant, about 1 minute more. Season mixture with thyme, oregano, bay leaf, salt, and black pepper; continue cooking another 30 seconds before pouring chicken broth into the pot.', 'Bring broth to a boil. Partially cover the pot, reduce heat to medium-low, and simmer until vegetables are just tender, about 10 minutes.', 'Stir orzo, lemon juice, and lemon zest into broth; add chicken. Cook until chicken and orzo are heated through, about 5 minutes. Add baby spinach; cook until spinach wilts into broth and orzo is tender, 2 to 3 minutes.', 'Ladle soup into bowls; garnish with lemon slices and Parmesan cheese.', 'Enjoy!']","{'Calories': '167', 'Fat': '4g', 'Carbs': '22g', 'Protein': '12g'}"
Mamaw's Chicken and Rice Casserole,4.7,6,1 hr 20 mins,"['3  chicken breasts, cut into cubes', '2 cups water', '2 cups instant white rice', '1 (10.5 ounce) can  cream of chicken soup', '1 (10.5 ounce) can  cream of celery soup', '1 (10.5 ounce) can  cream of mushroom soup', 'salt and ground black pepper to taste', '½ cup butter, sliced into pats']","I grew up with this chicken and rice casserole recipe. My Grandmother got it from a lady from church at a potluck a long time ago! She passed it down to my mom and it's always been a family favorite. Quick and easy for school nights, and the leftovers are just as good! You can use less butter on top of course, my Momma and Mamaw always put the full stick on top (gotta love Southern ladies and their butter!)","['Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C). Grease sides and bottom of a casserole dish.', 'Stir chicken, water, rice, cream of chicken soup, cream of celery soup, and cream of mushroom soup together in the prepared casserole dish; season with salt and pepper.', 'Arrange butter evenly over the top of the chicken mixture.', 'Bake in the preheated oven until the rice is tender and the chicken is cooked through, 1 hour to 75 minutes.', 'Cool 10 to 15 minutes before serving. Enjoy!']","{'Calories': '411', 'Fat': '24g', 'Carbs': '24g', 'Protein': '24g'}"
Crispy and Tender Baked Chicken Thighs,4.7,8,1 hr 10 mins,"['cooking spray', '8  bone-in, skin-on chicken thighs', '¼ teaspoon garlic salt', '¼ teaspoon onion salt', '¼ teaspoon dried oregano', '¼ teaspoon ground thyme', '¼ teaspoon ground paprika', '¼ teaspoon ground black pepper']","Crispy chicken thighs are baked in the oven with a flavorful, homemade spice rub. The bone-in chicken thighs stay moist and juicy while the skin crisps up beautifully. Serve this budget-friendly main dish alongside any side dish for a dinner the whole family will love.","['Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil; spray foil with cooking spray.', 'Arrange chicken thighs, skin-side up, on the prepared baking sheet.', 'Combine garlic salt, onion salt, oregano, thyme, paprika, and pepper in a small bowl; mix until well combined.', 'Sprinkle spice mixture liberally over chicken thighs.', 'Bake chicken in the preheated oven until skin is crispy, thighs are no longer pink at the bone, and the juices run clear, about 1 hour. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).', 'Serve hot and enjoy!']","{'Calories': '190', 'Fat': '12g', 'Carbs': '0g', 'Protein': '19g'}"
Easy Baked Chicken Thighs,4.3,4,35 mins,"['4  chicken thighs', '4 teaspoons garlic powder', '4 teaspoons onion flakes']",These easy baked chicken thighs require minimum preparation; I love this quick recipe because I'm a college student! Feel free to season the chicken with your favorite spices. I like to use cayenne powder and black pepper.,"['Preheat the oven to 375 degrees F (190 degrees C).', 'Place chicken thighs in a baking dish; season both sides with garlic powder and onion flakes.', 'Bake in the preheated oven until no longer pink at the bone and juices run clear, about 30 minutes. An instant-read thermometer inserted into thickest part of thigh, near the bone, should read 165 degrees F (74 degrees C).']","{'Calories': '162', 'Fat': '8g', 'Carbs': '3g', 'Protein': '20g'}"
Weeknight Chicken Cordon Bleu,4.6,6,40 mins,"['1 cup milk', '1 cup dry bread crumbs', '6 skinless, boneless chicken breast halves, pounded to 1/4-inch thickness', 'salt and pepper, to taste', '6 slices cooked ham', '6 slices Swiss cheese', '2 tablespoons vegetable oil', '1 (10 1/2 ounce) can condensed cream of chicken soup', '½ cup heavy cream']",This is a tasty and quick chicken cordon bleu recipe that is great for a weeknight when you want something yummy and don't have the time. Great over noodles.,"['Preheat oven to 350 degrees F (175 degrees C).', 'Place milk and bread crumbs in two separate shallow bowls. Season chicken with salt and pepper. Place one slice of ham and one slice of cheese on each piece of chicken; roll, and secure with toothpicks. Dip each chicken roll into milk, and then into breadcrumbs.', 'Heat oil in a large skillet over medium-high heat. Brown rolled chicken on all sides. Arrange the chicken in a 9x13-inch baking dish.', 'In a small saucepan over medium heat, blend soup and cream; season with salt and pepper to taste. Pour over the chicken.', 'Bake in the preheated oven for 15 minutes, or until chicken is no longer pink and juices run clear.']","{'Calories': '538', 'Fat': '29g', 'Carbs': '20g', 'Protein': '46g'}"
Chef John's Chicken Kiev,4.9,4,1 hr 50 mins,"['2 cloves garlic, minced', '1 pinch salt', '2 tablespoons chopped fresh flat-leaf parsley', '6 tablespoons unsalted butter', '4 (8 ounce) skinless, boneless chicken breast halves, pounded to ¼-inch thickness', 'salt and pepper to taste', '1 cup all-purpose flour', '2 teaspoons salt', '2 large eggs, beaten', '2 cups panko bread crumbs', '1 pinch cayenne pepper', '2 cups vegetable oil for frying, or as needed']","This chicken Kiev with homemade garlic and parsley butter might take a bit more time, but the delicious results are worth the effort — you'll enjoy one of the greatest chicken experiences of your life, as well as one of the greatest garlic butter experiences of your life!","['Gather all ingredients.', 'Grind garlic and pinch of salt together in a mortar and pestle until smooth; add parsley and mix well. Pound butter into garlic mixture with the pestle until well combined. Wrap butter mixture in plastic wrap; refrigerate until cold, at least 15 minutes.', 'Season chicken breasts with salt and pepper. Place 1/4 of the butter mixture in the center of the wider end of each chicken breast.', 'Fold the narrower end of each chicken breast up over butter to form a tight pocket around the butter; gather the sides of each chicken breast to the center to form a round ball. The top of each chicken ball will be smooth and the bottom will be gathered. Tightly wrap each chicken ball in plastic wrap; transfer to a plate and chill in the freezer until the gathered bottoms hold together and are slightly firm, about 30 minutes.', 'Whisk flour and 2 teaspoons salt together in a shallow bowl. Whisk eggs together in another shallow bowl. Pour panko bread crumbs into a third bowl.', 'Remove chicken breast balls from plastic wrap. Gently press them into flour mixture to coat; shake off any excess flour. Dip into beaten eggs, then press into bread crumbs. Place breaded chicken on a plate; cover with plastic wrap, and return to the freezer to chill until firm, about 15 minutes.', 'Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C). Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with aluminum foil. Working in batches, place chicken, gathered-side down, in hot oil and cook until lightly golden, about 1 minute per side. Transfer chicken to the prepared baking sheet; sprinkle salt and cayenne pepper over the top.', 'Bake in the preheated oven until you can hear the butter start to sizzle on the baking sheet, 15 to 17 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).', 'Let rest for a few minutes before serving.']","{'Calories': '790', 'Fat': '38g', 'Carbs': '62g', 'Protein': '60g'}"
King Ranch Chicken Casserole,4.5,8,1 hr 15 mins,"['1 tablespoon vegetable oil', '1 medium white onion, diced', '1 medium red bell pepper, diced', '1 medium green bell pepper, diced', '1 (10.5 ounce) can condensed cream of mushroom soup', '1 (10.5 ounce) can condensed cream of chicken soup', '1 (10 ounce) can diced tomatoes with green chile peppers (such as RO*TEL®)', '1 cup chicken broth', '2 tablespoons sour cream', '2 teaspoons ground cumin', '1 teaspoon ancho chile powder', '½ teaspoon dried oregano', '¼ teaspoon chipotle chile powder', '1 (3 pound) cooked chicken, torn into shreds or cut into chunks', '1 (8 ounce) package shredded Cheddar cheese', '10 (6 inch) corn tortillas, cut into quarters']","This classic King Ranch chicken casserole is bursting with chicken, corn tortillas, tomatoes, peppers, and cheesy goodness. From what I hear, it's impossible to go to any sort of potluck in Texas and not see one of these.","['Gather the ingredients. Preheat the oven to 350 degrees F (175 degrees C).', 'Heat oil in a large skillet over high heat. Saute onion and bell peppers in the hot oil until warmed through, about 2 minutes. Transfer to a large bowl.', 'Add both cans of condensed soup, diced tomatoes with chile peppers, chicken broth, sour cream, cumin, ancho chile powder, oregano, and chipotle chile powder; mix until sauce is well-combined.', 'Spread a few tablespoons of sauce in the bottom of a 9x13-inch baking dish. Layer with 1/2 of the chicken, 1/2 of the sauce, 1/2 of the Cheddar cheese, and 1/2 of the tortillas.', 'Spread the remaining chicken over the tortillas. Spread all but 1/2 cup of the remaining sauce over the chicken, then top with another 1/3 of the Cheddar, and the remaining tortillas. Spread the remaining 1/2 cup over top, and sprinkle with the remaining Cheddar.', 'Bake casserole in the preheated oven until bubbling, about 40 minutes.', 'Turn on the broiler and broil until the top is golden, 2 to 3 more minutes.', 'Serve hot and enjoy!']","{'Calories': '479', 'Fat': '28g', 'Carbs': '25g', 'Protein': '32g'}"
Jamaican Curry Chicken,4.7,6,50 mins,"['¼ cup curry powder, divided', '2 tablespoons garlic powder', '1 tablespoon seasoned salt', '1 tablespoon onion powder', '2 teaspoons salt', '1 sprig fresh thyme, leaves stripped', '1 pinch ground allspice, or more to taste', 'salt and ground black pepper to taste', '2 ¼ pounds whole chicken, cut into pieces', '3 tablespoons vegetable oil', '3 cups water', '1  potato, diced', '½ cup chopped carrots', '2  scallions (green onions), chopped', '1 (1 inch) piece fresh ginger root, minced', '1  Scotch bonnet chile pepper, chopped, or to taste']","I couldn't find a recipe I liked, so here is my family's version of 'curried' chicken. It brings back memories of a childhood spent enjoying food there, where there were very few dishes I wouldn't eat, vegetables or not. This dish is traditionally served on white rice or in a roti, but feel free to get creative!","['Whisk 2 tablespoons curry powder, garlic powder, seasoned salt, onion powder, salt, thyme leaves, allspice, salt, and pepper together in a bowl. Add chicken and coat with curry mixture until curry mixture is wet and sticks to chicken.', 'Heat oil and 2 tablespoons curry powder in a large cast-iron skillet over high heat until oil is hot and curry powder changes color, 2 to 3 minutes. Add chicken to the hot oil mixture and reduce heat to medium. Add water, potato, carrots, scallions, ginger, and chile pepper to skillet.', 'Cover skillet and simmer until chicken is no longer pink in the center and gravy is thickened, allowing chicken to cook undisturbed for last 15 minutes of cooking, 30 to 40 minutes. An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read 165 degrees F (74 degrees C). Remove chicken to a serving dish; continue simmering gravy, uncovered, to thicken (if needed). Serve chicken with gravy.']","{'Calories': '348', 'Fat': '20g', 'Carbs': '14g', 'Protein': '28g'}"
Korean Fried Chicken,4.8,4,4 hrs 30 mins,"['1 pound skinless, boneless chicken thighs, quartered', '½ yellow onion, grated', '4 cloves garlic, minced', '1 teaspoon fine salt', '½ teaspoon freshly ground black pepper', '4 cups oil for frying, or as needed', '¾ cup cornstarch', '½ cup self-rising flour', '1 teaspoon white sugar', '½ teaspoon ground black pepper', '¼ teaspoon salt', '1 cup very cold water, or as needed']","This Korean fried chicken recipe is officially my favorite. I've had every style of fried chicken known to man, so I've always considered myself an expert. No other method I've come across has the same combination of tender, juicy, flavorful chicken and plate-scratching crispiness as this recipe does. It's simply a must-try!","['Gather all ingredients.', 'Make marinade: Stir together chicken, onion, garlic, salt, and pepper in a medium bowl until chicken is coated. Cover the bowl with plastic wrap and refrigerate, 4 hours to overnight.', 'Heat oil in a deep fryer or large saucepan to 340 degrees F (171 degrees C).', 'While oil is heating, make the batter: Whisk cornstarch, flour, sugar, pepper, and salt together in a large bowl. Gradually whisk in cold water until mixture resembles a smooth batter. Use tongs to remove chicken from marinade to batter; stir to coat chicken completely. Discard marinade.', 'Working in batches, fry chicken in hot oil for 4 minutes. Transfer chicken to a cooling rack.', 'Increase oil temperature to 375 degrees F (190 degrees C).', 'Working in batches, fry chicken again in hot oil until golden brown and crispy, 3 to 4 minutes. Transfer to a wire rack to drain.', 'Enjoy!']","{'Calories': '472', 'Fat': '24g', 'Carbs': '44g', 'Protein': '19g'}"
Chef John's Chicken Tikka Masala,4.8,4,1 hr 10 mins,"['1 ½ pounds skinless, boneless chicken thighs', '1 tablespoon vegetable oil', '2 teaspoons kosher salt', '2 teaspoons garam masala', '2 teaspoons ground cumin', '1 teaspoon ground coriander', '1 teaspoon smoked paprika', '1 teaspoon ground turmeric', '½ teaspoon ground black pepper', '¼ teaspoon cayenne pepper', '⅛ teaspoon ground cardamom', '2 tablespoons clarified butter (ghee), or more as needed', '1  onion, chopped', '¼ cup tomato paste', '4 cloves garlic, finely grated', '1 tablespoon finely grated ginger, or more to taste', '1 cup crushed tomatoes', '1 (13 ounce) can coconut milk', '½ cup chicken broth, or as needed', '2 tablespoons chopped fresh cilantro', '½ teaspoon red pepper flakes', 'salt and ground black pepper to taste']","Chicken tikka masala is usually made with heavy cream, but I like to use coconut milk instead; its subtle sweetness works beautifully with the spices in the dish. Serve with steamed rice.","['Gather all ingredients. Place chicken in a bowl. Drizzle vegetable oil over chicken; toss to coat.', 'Whisk together salt, garam masala, cumin, coriander, paprika, turmeric, black pepper, cayenne pepper, and cardamom in a small bowl. Sprinkle over chicken and turn to coat evenly.', 'Melt clarified butter in a large, heavy skillet over high heat. Cook chicken thighs in hot butter until browned on all sides, 5 to 10 minutes. Transfer chicken to a plate. When cool enough to handle, cut chicken into bite-sized pieces.', 'Make sauce: Place the skillet with chicken drippings over medium-high heat. Stir onion into the skillet; sauté until onion softens and turns translucent, 5 to 6 minutes. Stir in tomato paste and cook until paste caramelizes, about 5 minutes. Stir garlic and ginger into tomato-onion mixture; cook until fragrant, about 1 minute.', 'Pour crushed tomatoes into the skillet. Bring to a boil while scraping the browned bits of food off of the bottom of the skillet with a wooden spoon. Pour in coconut milk and chicken broth; bring to a simmer, reduce heat to medium-low, and cook, stirring occasionally, until flavors blend and sauce is slightly reduced, about 15 minutes.', 'Stir chicken and any accumulated juices into sauce. Add cilantro and red pepper flakes; bring to a simmer, reduce heat to medium-low, and cook until chicken is cooked through and tender, 10 to 15 minutes. Season with salt and black pepper.']","{'Calories': '625', 'Fat': '48g', 'Carbs': '19g', 'Protein': '34g'}"
Simple Baked Chicken Breasts,4.7,4,35 mins,"['4 (5 ounce) skinless, boneless chicken breast halves', '2 tablespoons olive oil', '½ teaspoon coarse sea salt, or to taste', ""1 pinch Creole seasoning (such as Tony Chachere's®), or more to taste"", '1 tablespoon chicken broth or water']","These seasoned baked chicken breasts always turn out tender, juicy, and perfect every time with this easy 5-ingredient recipe. Adding some chicken broth to the delicious pan drippings creates a flavorful sauce to serve with the chicken.","['Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C).', 'Rub chicken breasts with olive oil and sprinkle both sides with salt and Creole seasoning. Place chicken in a broiler pan.', 'Bake in the preheated oven for 10 minutes. Flip chicken and cook until no longer pink in the center and the juices run clear, about 15 minutes more. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).', 'Remove chicken to a plate. Pour chicken broth into the pan and scrape any browned bits off the bottom with a flat-edged wooden spatula. Add more broth if needed to dislodge the browned bits, but not too much or it will be watery.', 'To serve, drizzle the pan sauce over the chicken.']","{'Calories': '191', 'Fat': '10g', 'Carbs': '0g', 'Protein': '25g'}"
Chicken and Stuffing Casserole,4.6,8,1 hr 25 mins,"['cooking spray', '1 ½ cups water', '¼ cup butter', '1 (6 ounce) package quick-cooking stuffing mix (such as Stove Top), or more to taste', '1 tablespoon butter', '1 medium onion, diced', '3 stalks celery, diced, or more to taste', '1 (10.5 ounce) can  low-sodium cream of chicken soup', '½ (10.5 ounce) can  low-sodium cream of mushroom soup', '1 (8 ounce) container sour cream', '1 whole cooked rotisserie chicken - skinned, boned, and meat shredded', 'salt and ground black pepper to taste']","This chicken and stuffing casserole is creamy and comforting on a cool winter evening — the whole family will love it! The crispy topping on this old-fashioned casserole is easy to make with a quick-cooking stuffing mix. A store-bought rotisserie chicken is required, but if you have leftover chicken on hand, use it! Leftovers are yummy, too.","['Preheat the oven to 375 degrees F (190 degrees C). Spray a 9x13-inch baking dish with cooking spray.', 'Bring water and 1/4 cup butter to a boil in a saucepan over medium heat. Add stuffing mix and stir to combine. Remove the saucepan from the heat, cover, and let sit until water is absorbed, about 5 minutes. Fluff stuffing with a fork.', 'While you are preparing stuffing, melt 1 tablespoon butter in a skillet over medium heat. Add onion and celery; cook and stir until softened, 5 to 10 minutes.', 'Mix both condensed soups with sour cream in a bowl until well combined.', 'Spread shredded chicken in the bottom of the prepared baking dish. Layer onion mixture over chicken and season with salt and pepper.', 'Top with soup mixture and spread stuffing evenly over top.', 'Bake in the preheated oven until filling is bubbly and topping is golden brown, about 1 hour.', 'Serve hot and enjoy!']","{'Calories': '362', 'Fat': '21g', 'Carbs': '20g', 'Protein': '20g'}"
Chicken and Broccoli Stir Fry,4.7,4,35 mins,"['2 teaspoons canola oil', '1 pound boneless skinless chicken thighs, cut into ¾-inch pieces', '3 tablespoons cornstarch, divided', '¾ cup thinly sliced onion', '2 teaspoons minced fresh ginger', '4 clove garlic cloves, thinly sliced', '5 cups broccoli florets', '¾ cup water', '¼\xa0cup soy sauce', '1 tablespoon oyster sauce', '1 tablespoon light brown sugar', '¼ teaspoon crushed red pepper flakes, or to taste', '1/4 teaspoon freshly ground black pepper']","This chicken and broccoli recipe is easy to make by stir-frying chicken pieces with fresh broccoli in a mix of soy, ginger, garlic, and brown sugar. Serve with rice for an easy, pleasing dinner.","['Gather all ingredients.', 'Heat oil in a large non-stick skillet over medium-high until shimmery, about 2 minutes. Meanwhile, stir together chicken and 1 tablespoon of cornstarch in a medium bowl until chicken is coated.', 'Add chicken to skillet in a single layer and cook, stirring often, until crisp and cooked through, about 6 minutes. Add onions, and cook, stirring often, until translucent, about 1 minute. Add ginger and garlic; cook, stirring constantly, until fragrant, about 1 minute. Transfer chicken mixture to a plate and set aside.', 'Add broccoli to empty skillet, and cook over medium-high, stirring occasionally, until bright green and heated through, 2 to 3 minutes.', 'Meanwhile, whisk together water, soy sauce, oyster sauce, brown sugar, crushed red pepper, black pepper, and remaining 2 tablespoons cornstarch in a small bowl until smooth, about 30 seconds.', 'Add cooked chicken mixture to broccoli in skillet; add soy sauce mixture and cook, stirring constantly, until broccoli and chicken are well coated, and sauce thickens, about 2\xa0 minutes.', 'Serve immediately. Enjoy!']","{'Calories': '343', 'Fat': '12g', 'Carbs': '29g', 'Protein': '34g'}"
Chicken Francese,4.8,6,1 hr 25 mins,"['4 large skinless, boneless chicken breast halves', '1 cup milk, or as needed', '1 cup bread crumbs', '1 cup grated Pecorino Romano cheese', '2 tablespoons freshly chopped parsley', '1 cup olive oil', 'salt and ground black pepper to taste', '1 medium lemon, thinly sliced', '1 cup white wine', '1 cup chicken broth', '¼ cup lemon juice', '1 ounce brandy-based orange liqueur (such as Grand Marnier®), or to taste']","Chicken Francese is an elegant pan-fried breaded chicken dish, topped with a delicious white wine and lemon sauce. It's perfect for dinner parties or a romantic meal. This is my mom's recipe that I've been making for many years.","['To make the chicken: Remove tenderloin from each chicken breast half, then fillet each half into two slices. Pound all chicken, including tenderloins, to a thickness of 1/4 inch.', 'Transfer chicken to a bowl and pour in enough milk to completely cover; soak for 30 minutes.', 'Mix bread crumbs, Pecorino Romano, and parsley together in a bowl. Remove chicken from milk and dredge in bread crumb mixture until evenly coated.', 'Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch baking dish.', 'Heat olive oil in a large skillet over medium heat. Add chicken and cook until lightly browned, 2 to 3 minutes per side. Transfer to the prepared baking dish, season with salt and pepper, and place lemon slices over top.', 'To make the sauce: Pour wine into the skillet with chicken drippings and bring to a boil while scraping the browned bits of food off the bottom of the pan with a wooden spoon. Add broth and lemon juice; boil until reduced by half, 5 to 10 minutes. Pour wine mixture over chicken, then drizzle orange liqueur over top.', 'Bake in the preheated oven until sauce is bubbling and chicken is no longer pink in the center and the juices run clear, 20 to 25 minutes.']","{'Calories': '634', 'Fat': '44g', 'Carbs': '22g', 'Protein': '33g'}"
Grilled Chicken Marinade,4.8,5,2 hrs 20 mins,"['¼ cup red wine vinegar', '¼ cup reduced-sodium soy sauce', '¼ cup olive oil', '1 ½ teaspoons dried parsley flakes', '½ teaspoon dried basil', '½ teaspoon dried oregano', '¼ teaspoon garlic powder', '¼ teaspoon ground black pepper', '5 skinless, boneless chicken breasts, thinly sliced']",This chicken marinade is the best marinade I know for grilled chicken! It is so flavorful and easy to prep with three main ingredients and simple seasonings. Perfect for any summer occasion!,"['Gather all ingredients.', 'Whisk vinegar, soy sauce, olive oil, parsley, basil, oregano, garlic powder, and black pepper together in a bowl.', 'Pour into a resealable plastic bag. Add chicken, coat with the marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator, 2 to 4 hours.', 'Preheat grill for medium-low heat and lightly oil the grate. Drain and discard marinade.', 'Grill chicken on the preheated grill until no longer pink in the center, 4 to 5 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).']","{'Calories': '233', 'Fat': '14g', 'Carbs': '2g', 'Protein': '24g'}"
Slow Cooker Chicken Tacos,4.7,8,6 hrs 10 mins,"['1 cup chicken broth', '3 tablespoons taco seasoning mix', '1 pound skinless, boneless chicken breasts']","This slow cooker chicken tacos recipe is easy to make with just 3 ingredients for flavorful, super tender, shredded chicken. Spoon the chicken into warm tortillas for a very tasty meal any day of the week.","['Gather all ingredients.', 'Combine chicken broth and taco seasoning mix in a bowl.', 'Place chicken in a slow cooker. Pour chicken broth mixture over chicken.', 'Cook on Low for 6 to 8 hours. Shred chicken with two forks.']","{'Calories': '71', 'Fat': '1g', 'Carbs': '2g', 'Protein': '11g'}"
Greek Lemon Chicken and Potatoes,4.8,4,1 hr,"['4 pounds skin-on, bone-in chicken thighs', '3 medium russet potatoes, peeled and quartered', '½ cup freshly squeezed lemon juice', '½ cup Greek olive oil', '6 cloves garlic, minced', '1 tablespoon dried oregano', '1 tablespoon kosher salt', '1 teaspoon dried rosemary', '1 teaspoon freshly ground black pepper', '1 pinch cayenne pepper', '1 cup chicken broth, divided', '1 teaspoon chopped fresh oregano, or to taste']","This Greek lemon chicken dish with garlic and roast potatoes is a classic recipe and easy to cook in one roasting pan. The lemony crispy chicken is a proven crowd-pleaser, easy on the wallet, and a favorite of mine.","['Gather all ingredients and preheat the oven to 425 degrees F (220 degrees C). Lightly oil a large roasting pan.', 'Place chicken and potatoes in a large bowl. Add lemon juice, olive oil, garlic, dried oregano, salt, rosemary, black pepper, and cayenne. Toss until chicken and potatoes are evenly coated.', 'Place chicken pieces skin-side up in the prepared pan. Tuck potato pieces around chicken. Drizzle with 2/3 cup chicken broth. Spoon any remaining marinade from the bowl over chicken and potatoes.', 'Bake in the preheated oven for 20 minutes. Toss chicken and potatoes, then place chicken skin-side up again.', 'Continue baking until chicken is browned and cooked through, about 25 minutes more; an instant-read thermometer inserted near the bone should register 165 degrees F (74 degrees C).', 'Transfer chicken to a serving platter and keep warm; leave potatoes in the pan.', 'Turn on the broiler, or set oven to highest heat. Toss potatoes again to coat in pan juices. Place the pan under the broiler and broil until potatoes are crisped, about 3 minutes.', 'Transfer potatoes to the platter with chicken.', 'Place the roasting pan on the stovetop over medium heat. Add the remaining 1/3 cup chicken broth and scrape up browned bits from the bottom of the pan.', 'Strain pan juices into a measuring cup and pour over chicken and potatoes.', 'Sprinkle with fresh oregano. Serve and enjoy!']","{'Calories': '1139', 'Fat': '75g', 'Carbs': '35g', 'Protein': '80g'}"
Baked Chicken Schnitzel,4.5,6,30 mins,"['1 tablespoon olive oil, or as desired', '6  chicken breasts, cut in half lengthwise (butterflied)', 'salt and ground black pepper to taste', '¾ cup all-purpose flour', '1 tablespoon ground paprika', '2 large eggs, beaten', '2 cups seasoned bread crumbs', '1 large lemon, zested']","Chicken schnitzel is a breeze to make in the oven. Plus, this method uses less oil and has easier cleanup. The breaded chicken breasts are baked until golden and crispy on the outside, yet they're still tender and juicy on the inside. Serve schnitzels with lemon wedges and a German-style potato salad.","['Gather all ingredients.', 'Preheat the oven to 425 degrees F (220 degrees C). Line a large baking sheet with aluminum foil and drizzle olive oil over foil. Place the baking sheet in the oven as it preheats.', 'Meanwhile, place chicken breasts between 2 sheets of plastic wrap on a solid, level surface. Firmly pound with the smooth side of a meat mallet to 1/4-inch thickness. Season both sides with salt and pepper.', 'Mix flour and paprika together in a shallow bowl. Whisk eggs, salt, and pepper together in a second shallow bowl. Mix bread crumbs and lemon zest together in a third shallow bowl.', 'Dredge one piece of chicken in flour; shake off excess. Dip into beaten egg. Lift up so excess egg drips back in the bowl. Press into bread crumbs to coat both sides. Place the breaded chicken, unstacked, onto a plate. Repeat with remaining chicken.', 'Remove the baking sheet from the oven. Arrange chicken in a single layer on the hot sheet. Drizzle more olive oil over each piece.', 'Bake in the preheated oven for 5 to 6 minutes. Flip chicken and continue baking until no longer pink in the center and the breading is lightly browned, 5 to 6 minutes more. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).']","{'Calories': '383', 'Fat': '9g', 'Carbs': '40g', 'Protein': '33g'}"
